# 井號開頭的是註解列

# 空白列也會被忽略

# 第一列非空白列是欄位名稱， 一律只能有英文或數字底線， 用逗點分開。
# 裡面至少要有 lon (經度) 及 lat (緯度) 兩欄。
# 另外， 若有 name 欄位， 可能有利於後續顯示。

# 詳見 http://newtoypia.blogspot.tw/2015/07/csv-geojson.html
# 「csv 轉 geojson ： 大批地址匯入你的私房地圖」

name,address,phone,mail,lat,lon
跨越單車精品店,台北市大同區民生西路432號1樓,02-25567630,kua.yue18@yahoo.com.tw,25.0567873,121.5084809
捷安特-十三行站,新北市八里區博物館路159號,02-86304585,giant.d21090@msa.hinet.net,25.1574878,121.406618
定國自行車有限公司,新北市三峽區民權街42號1樓,02-26713383,,24.9336365,121.3696329
摩利斯其樂文化有限公司,新竹市北區海濱里海濱路95號1樓,03-5367420,morrisliang829@yahoo.com.tw,24.8436637,120.9263189
捷安特-興大站,台中市南區復新街87巷9號1樓,04-22851540,giant.d21073@msa.hinet.net,24.1243249,120.676457
捷崴單車精品有限公司,台中市北屯區水景里東山路一段185號,04-24364690,giant.d21132@msa.hinet.net,24.1706282,120.7082242
坦克單車有限公司,台中市北屯區松竹路2段669號,04-22464669,tank238247@gmail.com,24.1816626,120.6876853
翔安鐵馬生活館,彰化縣鹿港鎮順興里建國路5號,04-7764282,lucky.me168@msa.hinet.net,24.0593029,120.4335277
捷安特-日月潭站,南投縣魚池鄉水社村中山路163號1樓,049-2856713,giant.d21103@msa.hinet.net,23.866462,120.911139
玩家單車生活館,雲林縣斗六市雲林路2段297號,05-5378283,giant12207@livemail.tw,23.7017443,120.5298657
玩家單車專賣店,雲林縣斗六市信義里民生路196號1樓,05-5339163,player@cltv.tinp.net,23.7124859,120.5433869
瑞發車行,台南市白河區中山路65號,06-6854527,,23.34999,120.41504
動力極限有限公司台南分公司,台南市東區中華東路三段212、214號,06-2609388,salsa_4747@yahoo.com.tw,22.9767069,120.225264
永丞單車生活館,710台南市永康區中華路320號,06-3121269,lan0980@hotmail.com,23.008153,120.234464
豐榮車行(ㄚ傑單車),台南市安平區華平里慶平路427號1F,06-2996469,giant.13162@gmail.com,22.9966928,120.1753304
永丞單車股份有限公司,台南市仁德區仁義村中山路345號,06-2498681,chai5158@hotmail.com,22.9707699,120.2585324
金牛單車生活館,台南市善化區光文里大成路298、300號,06-5839188,giant_goldcow@yahoo.com.tw,23.1299022,120.2983213
太順自行車行,高雄市左營區左營大路202號,07-5836935,yl2001@ms33.hinet.net,22.6847029,120.289648
歐亞單車行,高雄市三民區復興一路149號,07-2361071,oyabike@gmail.com,22.6368831,120.3084658
華興單車館,高雄市楠梓區加昌路620號,07-3660843,giant618@gmail.com,22.7155126,120.2979964
捷安特-高雄愛河店,高雄市苓雅區青年二路238、240號1-2樓,07-2413040,giant.d21087@msa.hinet.net,22.6174501,120.2939557
騎格車行,高雄市左營區華夏路769號,07-3416972,ride.style@msa.hinet.net,22.6792708,120.303079
榮輪腳踏車店,屏東縣恆春鎮中山路180號,08-8891029,prefactbike@yahoo.com.tw,22.0048629,120.7433743
捷安特-墾丁悠活站,屏東縣恆春鎮萬里路27-8號,08-8869009,giant.d21115@msa.hinet.net,21.997729,120.70526
達陣單車館,屏東縣枋寮鄉枋寮村中山路246之2號,08-8780530,ylhung99@gmail.com,22.3681558,120.5937284
偉展車行,265宜蘭縣羅東鎮東安里光榮路330號一樓,03-9605504,wsmam@hotmail.com,24.6783066,121.7779931
就是單車生活館,宜蘭縣蘇澳鎮蘇東里蘇花路5段112號一樓,03-9951595,joser.bike@gmail.com,24.5963043,121.8540636
義宏車行,花蓮縣玉里鎮中城里和平路47號,038-885669,,23.3321388,121.3144386
名捷車行,花蓮縣花蓮市民生里明禮街7號1樓,038-357427,giant.a582@msa.hinet.net,23.9785296,121.6113174
宗承車行,花蓮縣吉安鄉北昌村建國路一段160號1樓,038-579148,,23.9862828,121.5906703
名捷自行車有限公司,花蓮縣花蓮市主權里中華路491號,038-525717,giant.a491@msa.hinet.net,23.9739884,121.5888069
珍成有限公司,花蓮縣花蓮市林森路213號,038-323361,giant.jc@msa.hinet.net,23.9785238,121.6010322
捷安特-花蓮站,花蓮縣花蓮市國聯里國興一街35號,038-336761,giant.d21134@msa.hinet.net,23.9928502,121.6025989
肆加貳單車專賣店,台東縣台東市民族里更生路157號1樓,089-327866,lkc3299@ms25.hinet.net,22.7593456,121.1472105
藍天二輪生活館,台東縣台東市中正里中華路1段377號1-3樓,089-347416,bluesky.giant@msa.hinet.net,22.7540173,121.1529566
捷安特-關山站(每周五六日營業),台東縣關山鎮中福里博愛路6號,089-814391,giant.d21091@msa.hinet.net,23.0468152,121.1646641
和益車行,台東縣關山鎮民生路51號,089-811362,,23.0484713,121.1627504
捷安特-台東新站,台東縣台東市岩灣里岩灣路101巷602號,089-235879,giant.d21139@msa.hinet.net,22.792695,121.1288053
