樞紐表練習,,,,,,,,,,
資料來源：,,,,,,,,,,
http://doheth.co.uk/info/countries-of-the-world.php,,,,,,,,,,
Name (English),Location (Continent),Capital city (official),Currency (poss. multiple),Population (inhabitants),Area (km²),Pop. density (inhabitants/km²),GDP (nominal) (millions of USD),Life exp.  (years),Birth rate (births/1000),Death rate (deaths/1000)
Abkhazia,Asia,Sukhumi,Georgian lari;Russian ruble,216000,8600,25,-,-,-,-
Afghanistan,Asia,Kabul,Afghan afghani,29863010,652090,46,7168,42.9,46.6,20.75
Albania,Europe,Tirana,Albanian lek,3129678,28748,109,8379,77.24,15.11,5.12
Algeria,Africa,Algiers,Algerian dinar,32853800,2381741,13,102257,73,17.14,4.6
Andorra,Europe,Andorra la Vella,Euro,67151,468,143,960,83.51,8.71,6.07
Angola,Africa,Luanda,Angolan kwanza,15941390,1246700,12,28038,38.43,45.11,24.5
Antigua and Barbuda,North America,St. John's,East Caribbean dollar,81479,442,184,905,71.9,16.93,5.44
Argentina,South America,Buenos Aires,Argentine peso,38747150,2780400,13,183309,75.91,16.73,7.56
Armenia,Asia,Yerevan,Armenian dram,3016312,29800,101,4903,71.55,12.07,8.16
Australia,Oceana,Canberra,Australian dollar,20155130,7741220,2,700672,81.01,12.14,7.44
Austria,Europe,Vienna,Euro,8189444,83858,98,304527,79.07,8.74,9.7
Azerbaijan,Asia,Baku,Azerbaijani manat,8410801,86600,97,12561,63.35,20.74,9.86
Bahamas,North America,Nassau,Bahamian dollar,323063,13878,23,5502,65.54,17.57,8.97
Bahrain,Asia,Manama,Bahraini dinar,726617,694,1047,12995,74.23,17.8,4.08
Bangladesh,Asia,Dhaka,Bangladeshi taka,141822300,143998,985,59958,62.08,29.8,8.4
Barbados,North America,Bridgetown,Barbadian dollar,269556,430,627,2976,72.59,12.71,8.74
Belarus,Europe,Minsk,Belarusian ruble,9755106,207600,47,29566,68.72,11.16,14.15
Belgium,Europe,Brussels,Euro,10419050,30528,341,364735,78.77,10.38,10.22
Belize,North America,Belmopan,Belize dollar,269736,22966,11,1105,68.44,28.84,5.65
Benin,Africa,Cotonou,West African CFA franc,8438853,112622,75,4287,52.66,38.85,12.49
Bhutan,Asia,Thimphu,Bhutanese ngultrum;Indian rupee,2162546,47000,46,840,54.39,33.65,12.94
Bolivia,South America,La Paz,Bolivian boliviano,9182015,1098581,8,9334,65.5,23.3,7.64
Bosnia and Herzegovina,Europe,Sarajevo,Convertible mark,3907074,51197,76,9369,78,8.77,8.08
Botswana,Africa,Gaborone,Botswana pula,1764926,581730,3,9350,33.87,23.08,29.36
Brazil,South America,Brasília,Brazilian real,186404900,8514877,22,794098,71.69,16.56,6.15
Brunei,Asia,Bandar Seri Begawan,Brunei dollar;Singapore dollar,373819,5765,65,9531,74.8,18.79,3.42
Bulgaria,Europe,Sofia,Bulgarian lev,7725965,110912,70,26648,72.03,9.65,14.26
Burkina Faso,Africa,Ouagadougou,West African CFA franc,13227840,274000,48,5171,48.45,45.62,15.92
Burundi,Africa,Bujumbura,Burundian franc,7547515,27834,271,800,50.29,42.22,13.79
Cambodia,Asia,Phnom Penh,Cambodian riel,14071010,181035,78,5391,58.92,26.9,9.15
Cameroon,Africa,Yaoundé,Central African CFA franc,16321860,475442,34,16985,50.89,33.89,13.63
Canada,North America,Ottawa,Canadian dollar,32268240,9970610,3,1115192,80.22,10.78,7.73
Cape Verde,Africa,Praia,Cape Verdean escudo,506807,4033,126,1024,70.45,24.87,6.62
Central African Republic,Africa,Bangui,Central African CFA franc,4037747,622984,6,1369,43.39,33.91,18.81
Chad,Africa,N'Djamena,Central African CFA franc,9748931,1284000,7,5469,47.18,45.73,16.71
Chile,South America,Valparaíso,Chilean peso,16295100,756096,22,115248,76.58,15.23,5.76
China-People's Republic of,Asia,Beijing,Chinese yuan (renminbi),1315844000,9596961,137,2228862,72.27,13.25,6.94
Colombia,South America,Bogotá,Colombian peso,45600240,1138914,40,122309,71.72,20.48,5.59
Comoros,Africa,Moroni,Comorian franc,797902,2235,357,382,61.96,36.93,8.4
Congo-Democratic Republic of the,Africa,Kinshasa,Congolese franc,57548740,2344858,25,6974,51.1,43.69,13.54
Congo-Republic of the,Africa,Brazzaville,Central African CFA franc,3998904,342000,11,5091,52.26,42.57,13.3
Costa Rica,North America,San José,Costa Rican colón,4327228,51100,85,19432,76.84,18.32,4.33
Croatia,Europe,Zagreb,Croatian kuna,4551338,56538,81,37412,74.45,9.61,11.38
Cuba,North America,Havana,Cuban convertible peso;Cuban peso,11269400,110861,102,19356,77.23,11.89,7.19
Cyprus,Asia,Nicosia,Cypriot pound,264172,3355,78,15418,77.82,12.56,7.64
Czech Republic,Europe,Prague,Czech koruna,10219600,78866,130,122345,76.02,10.4,10.54
Denmark,Europe,Copenhagen,Danish krone,5430590,43094,126,254401,77.79,11.13,10.43
Djibouti,Africa,Djibouti City,Djiboutian franc,793078,23200,34,702,43.1,39.53,19.39
Dominica,North America,Roseau,East Caribbean dollar,78940,751,105,279,74.65,15.27,6.81
Dominican Republic,North America,Santo Domingo,Dominican peso,8894907,48671,183,28303,71.44,23.22,5.73
Ecuador,South America,Quito,United States dollar,13228420,283561,47,36244,76.21,22.29,4.24
Egypt,Africa,Cairo,Egyptian pound,74032880,1001449,74,89336,71,22.94,5.26
El Salvador,North America,San Salvador,Salvadoran colón;United States Dollar,6880951,21041,327,16974,71.22,26.61,5.85
Equatorial Guinea,Africa,Malabo,Central African CFA franc,503519,28051,18,3231,49.7,35.59,15.04
Eritrea,Africa,Asmara,Eritrean nakfa,4401357,117600,37,986,58.47,34.33,9.87
Estonia,Europe,Tallinn,Estonian kroon,1329697,45100,29,13107,71.77,10.04,13.21
Ethiopia,Africa,Addis Ababa,Ethiopian birr,77430700,1104300,70,11174,48.83,37.98,15.06
Fiji,Oceana,Suva,Fijian dollar,847706,18274,46,2810,69.53,22.55,5.65
Finland,Europe,Helsinki,Euro,5249060,338145,15,193176,78.5,10.45,9.79
France,Europe,Paris,Euro,60495540,551500,110,2110185,79.73,11.99,9.08
Gabon,Africa,Libreville,Central African CFA franc,1383841,267668,5,8055,55.02,36.16,12.03
Gambia,Africa,Banjul,Gambian dalasi,1517079,11295,134,461,53.75,39.37,12.52
Georgia,Asia,Tbilisi,Georgian lari,4474404,69700,64,6395,75.88,10.41,9.09
Germany,Europe,Berlin,Euro,82689210,357022,232,2781900,78.8,8.25,10.55
Ghana,Africa,Accra,Ghanaian cedi,22112810,238533,93,10695,58.47,30.52,9.91
Greece,Europe,Athens,Euro,11119890,131957,84,213698,79.24,9.68,10.15
Grenada,North America,St. George's,East Caribbean dollar,102924,344,260,454,64.53,22.08,7.17
Guatemala,North America,Guatemala City,Guatemalan quetzal,12599060,108889,116,31683,69.06,29.88,5.3
Guinea,Africa,Conakry,Guinean franc,9402098,245857,38,2689,49.36,41.76,15.63
Guinea-Bissau,Africa,Bissau,West African CFA franc,1586344,36125,44,301,46.61,37.22,16.73
Guyana,South America,Georgetown,Guyanese dollar,751218,214969,3,783,65.5,18.28,8.32
Haiti,North America,Port-au-Prince,Haitian gourde,8527777,27750,307,4245,52.92,36.44,12.34
Honduras,North America,Tegucigalpa,Honduran lempira,7204723,112088,64,7976,69.3,28.24,5.25
