溪湖大發店#04-8851667,彰化縣溪湖鎮大發路73號
彰化溪湖店#04-8817134,彰化縣溪湖鎮光平里大溪路二段404號
溪湖金發店#04-8819269,彰化縣溪湖鎮西里二溪路一段369號
溪湖大竹店#04-8816507,彰化縣溪湖鎮西環路243號
溪湖再發店#04-8817290,彰化縣溪湖鎮崙子腳路122號
大村美港店#04-8526080,彰化縣大村鄉美港路51號
田中金斗店#04-8748349,彰化縣田中鎮斗中路一段232號
田中雙田店#04-8744418,彰化縣田中鎮民族街2號
田中新生店#04-8748424,彰化縣田中鎮員集路二段566號
埤頭金農店#04-8924389,彰化縣埤頭鄉彰水路三段265號
彰化珍埔店#04-7114881,彰化縣彰化市大埔路406號
彰化大通店#04-7511811,彰化縣彰化市中山路一段117之3號1樓
彰化漢銘店#04-7138069,彰化縣彰化市中山路一段366號
彰化新秀傳店#04-7269757,彰化縣彰化市中山路一段542號
彰化車頭店#04-7263943,彰化縣彰化市中正路一段559號
彰化建台店#04-7113410,彰化縣彰化市中興路103-8號
彰化建國店#04-7112631,彰化縣彰化市介壽北路1號(美育館1樓)
彰化再安店#04-7114746,彰化縣彰化市介壽南路16＆18號
彰化八卦山店#04-7270402,彰化縣彰化市公園路一段46號
彰化天祥店#04-7637099,彰化縣彰化市天祥路2號
彰化再旺店#04-7284611,彰化縣彰化市民族路443號
彰化自強店#04-7278997,彰化縣彰化市自強南路61號
彰化林森店#04-7638790,彰化縣彰化市林森路197號
彰化再興店#04-7201278,彰化縣彰化市南郭路一段191巷16號
彰化金平店#04-7616972,彰化縣彰化市崙平北路108號
彰化新彰基店#04-7287141,彰化縣彰化市博愛街101號
彰化師大店#04-7202436,彰化縣彰化市進德路4號
彰化香山店#04-7384385,彰化縣彰化市彰南路二段352號
彰化彰南店#04-7374666,彰化縣彰化市彰南路三段304號
彰化金馬店#04-7624805,彰化縣彰化市彰馬路246之1號
彰化線東店#04-7635121,彰化縣彰化市線東路一段567號
二林斗苑店#04-8955612,彰化縣二林鎮斗苑路四段299號
花壇金花店#04-7860631,彰化縣花壇鄉中正路356號
鹿港天后店#04-7754523,彰化縣鹿港鎮後寮巷92號
鹿港受益店#04-7840880,彰化縣鹿港鎮頂厝里鹿東路150號1樓
鹿港金寶店#04-7720101,彰化縣鹿港鎮鹿和路四段10號
鹿港鹿鼎店#04-7712161,彰化縣鹿港鎮鹿草路四段409號
福興福利店#04-7697552,彰化縣福興鄉萬豐村彰水路50~52號1樓
和美頂美店#04-7350643,彰化縣和美鎮美寮路二段2號
和美德美店#04-7556549,彰化縣和美鎮美寮路二段557號
和美三美店#04-7550078,彰化縣和美鎮道周路91號
和美家美店#04-7636905,彰化縣和美鎮嘉佃路8號
和美永美店#04-7359141,彰化縣和美鎮彰新路二段163號
和美雙美店#04-7366041,彰化縣和美鎮糖東一街21號
伸港上旺店#04-7987095,彰化縣伸港鄉中興路二段317號
伸港全興店#04-7986433,彰化縣伸港鄉興工路742號
員林大仁店#04-8392979,彰化縣員林鎮大同路二段179號
員林員山店#04-8356552,彰化縣員林鎮山腳路三段321號
員林僑信店#04-8396842,彰化縣員林鎮中山路二段281號1樓
員林育英店#04-8319518,彰化縣員林鎮育英路131號
員林車頭店#04-8396162,彰化縣員林鎮南平里靜修路52之1號
員林金萬年店#04-8333271,彰化縣員林鎮萬年巷51之10號
員林學友店#04-8371411,彰化縣員林鎮靜修路74-12號
西螺吳厝店#05-5878069,雲林縣西螺鎮吳厝里吳厝56號
西螺延平店#05-5873047,雲林縣西螺鎮延平路191號
西螺青果店#05-5879480,雲林縣西螺鎮新安里新興路500號
北港天后店#05-7837465,雲林縣北港鎮中山路90號
北港豐順店#05-7839941,雲林縣北港鎮公園路73號
北港財神店#05-7821172,雲林縣北港鎮文仁路143號
北港華勝店#05-7825091,雲林縣北港鎮華勝路416號1樓
斗南西岐店#05-5953351,雲林縣斗南鎮中山路151之16號
斗南陽光店#05-5971127,雲林縣斗南鎮中正路273號
斗南光華店#05-5953576,雲林縣斗南鎮光華路96號
虎尾霹靂店#05-6223248,雲林縣虎尾鎮中興路83號
虎尾虎科店#05-6322206,雲林縣虎尾鎮民主路58-3號
虎尾雙民店#05-6329753,雲林縣虎尾鎮民權路2號
虎尾工專店#05-6364272,雲林縣虎尾鎮立德路2號
虎尾平和店#05-6324174,雲林縣虎尾鎮光復路126號
虎尾福興店#05-6362041,雲林縣虎尾鎮光復路348號
虎尾五福店#05-6362156,雲林縣虎尾鎮林森路一段398號
虎尾文科店#05-6331799,雲林縣虎尾鎮建國里文科路1151號
虎尾立人店#05-6325725,雲林縣虎尾鎮復興路177號
虎尾興南店#05-6328374,雲林縣虎尾鎮興南里158之12號
雲林崙豐店#05-6902447,雲林縣台西鄉永豐村崙豐路108號1樓
麥寮六輕店#05-6812640,雲林縣麥寮鄉台塑工業園區1號
麥寮和順店#05-6939601,雲林縣麥寮鄉表福路2號
麥寮豐安店#05-6939758,雲林縣麥寮鄉後安村129之17號1樓
麥寮德順店#05-6914811,雲林縣麥寮鄉施厝路230號
麥寮橋頭店#05-6911471,雲林縣麥寮鄉橋頭路327號
斗六榮大店#05-5360113,雲林縣斗六市大學路一段402號1樓
斗六科大店#05-5377653,雲林縣斗六市中山路595號
斗六新中華店#05-5335022,雲林縣斗六市中華路100號
斗六中興店#05-5570921,雲林縣斗六市中興路15號
斗六內環店#05-5337016,雲林縣斗六市文化路93號
斗六四維店#05-5350953,雲林縣斗六市四維路132號
斗六莊敬店#05-5338296,雲林縣斗六市成功路280號
斗六竹圍店#05-5515203,雲林縣斗六市竹圍路51號
斗六明德店#05-5339978,雲林縣斗六市明德路103號
斗六鎮西店#05-5331461,雲林縣斗六市雲林路二段273號1樓
斗六龍潭店#05-5336820,雲林縣斗六市龍潭北路2號1樓?
斗六鎮北店#05-5331047,雲林縣斗六市鎮北路152號1樓
七堵工建店#02-24527145,基隆市七堵區工建路4號
七堵永富店#02-24558170,基隆市七堵區永富路120號
七堵新明德店#02-24517467,基隆市七堵區明德二路15之53號
七堵大興店#02-24560059,基隆市七堵區南興路30號
七堵大華店#02-24563412,基隆市七堵區南興路85號
基隆百福店#02-24529098,基隆市七堵區福二街204號
竹山金竹店#049-2652785,南投縣竹山鎮竹山路1之6之2號
竹山金溪店#049-2653787,南投縣竹山鎮東鄉路5之73號1樓
竹山上道店#049-2624269,南投縣竹山鎮集山路二段409號1樓
竹山新秀傳店#049-2624621,南投縣竹山鎮集山路二段75號
竹山延和店#049-2630859,南投縣竹山鎮集山路三段542號
南投中興店#049-2391847,南投縣南投市中興路268之1號
南投金袋店#049-2246829,南投縣南投市育樂路99號1樓
南投南崗店#049-2202035,南投縣南投市南崗二路403號一樓
南投車站店#049-2242638,南投縣南投市復興路121號
南投康金店#049-2247360,南投縣南投市復興路342號
南投金秋店#049-22015049,南投縣南投市彰南路二段33號
南投永順店#049-2246582,南投縣南投市彰南路二段360號1樓
南投永裕店#049-2208750,南投縣南投市彰南路二段571號
南投新村店#049-2339180,南投縣南投市營北里中正路330之6號一樓
草屯雙冬店#049-2572861,南投縣草屯鎮中正路43之43號
草屯南開店#049-2568946,南投縣草屯鎮中正路568號
草屯中正店#049-2304751,南投縣草屯鎮中正路836號
草屯金安全店#049-2565781,南投縣草屯鎮中和路100號
草屯敦和店#049-2313291,南投縣草屯鎮仁愛街89號
草屯佑民店#049-2392916,南投縣草屯鎮正興街78號
草屯八寶店#049-2311985,南投縣草屯鎮虎山路764號
草屯金安店#049-2569945,南投縣草屯鎮御富路218號
草屯金昌店#049-2560184,南投縣草屯鎮富林路一段320號
埔里愛埔店#049-2917636,南投縣埔里鎮中山路四段87號
埔里東興店#049-2424611,南投縣埔里鎮中正路188號
埔里東榮店#049-2994966,南投縣埔里鎮中正路376號
埔里車站店#049-2904393,南投縣埔里鎮仁愛路168號
埔里埔大店#049-2906026,南投縣埔里鎮民生路146號
埔里八德店#049-2992583,南投縣埔里鎮西安路一段269號
埔里牛埔店#049-2932897,南投縣埔里鎮西安路二段90號
埔里高工店#049-2999423,南投縣埔里鎮和平東路431號
埔里金牛店#049-2915827,南投縣埔里鎮桃米路23號之7
埔里九龍店#049-2996297,南投縣埔里鎮隆生路71號
埔里鐵山店#049-2916873,南投縣埔里鎮鐵山路9號,9-1號
仁愛高山青店#049-2803863,南投縣仁愛鄉信義巷34之6號
仁愛廬山店#049-2803303,南投縣仁愛鄉榮華巷23號
基隆大慶店#02-24374852,基隆市中山區中和路168巷5弄17號1樓
基隆囍市店#02-24370415,基隆市中山區中和路85巷14號
基隆樂華店#02-24285782,基隆市中山區西定路467號
基隆華復店#02-24282937,基隆市中山區通化里中華路2號
基隆復興店#02-24371342,基隆市中山區復興路142號
基隆全興店#02-24374595,基隆市中山區復興路259巷61號
基隆經國店#02-24374320,基隆市中山區復興路346號
嘉義德慶店#05-2319477,嘉義市西區中興路319之3號1樓
嘉義億高店#05-2855850,嘉義市西區仁愛路181號
嘉義玉山店#05-2842603,嘉義市西區世賢路二段468號
嘉義世賢店#05-2858840,嘉義市西區世賢路四段187號
嘉義北園店#05-2382806,嘉義市西區北社尾路31號
嘉義光路店#05-2843075,嘉義市西區民生南路528號1樓
嘉義湖瑞店#05-2841584,嘉義市西區民生南路589號
嘉義憶富店#05-2229931,嘉義市西區民權路396號
嘉義自強店#05-2863047,嘉義市西區自強街86號
