# 井號開頭的是註解列,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
# 空白列也會被忽略,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
# 第一列非空白列是欄位名稱， 一律只能有英文或數字底線， 用逗點分開。,,,,,,,,,,,,,,,,,
# 裡面至少要有 lon (經度) 及 lat (緯度) 兩欄。,,,,,,,,,,,,,,,,,
# 另外， 若有 name 欄位， 可能有利於後續顯示。,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
# 詳見 http://newtoypia.blogspot.tw/2015/07/csv-geojson.html,,,,,,,,,,,,,,,,,
# 「csv 轉 geojson ： 大批地址匯入你的私房地圖」,,,,,,,,,,,,,,,,,
name,,,,,,,,,,,,,,,,,
台中公益服務中心,地圖,   可預約取號    可預約取貨  ,台中市西區精誠路105-8號,電話 ,123或0800-080123,服務時間 ,週一至週日11:00~21:00，全年無休,備註 ,提供iPhone及iPad(未含12.9吋iPad Pro)銷售,,,,,,,,
美村服務中心,地圖,   可預約取號    可預約取貨  ,台中市西區美村路一段685號,電話 ,123或0800-080123,服務時間 ,週一至週日11:00~21:00，全年無休,備註 ,提供iPhone及iPad(未含12.9吋iPad Pro)銷售,,,,,,,,
南台中服務中心,地圖,   可預約取號    可預約取貨  ,台中市西區市府路37號,電話 ,123或0800-080123,服務時間 ,週一至週五：8:00~19:00,週六：9:00~17:00,備註 ,提供iPhone及iPad銷售,設有無障礙坡道,每月第二、四週週三下午15:30~16:30舉辦門市小學堂，提供智慧型手機功能、寬頻與MOD...等操作課程,,,,,
台中學府服務中心,地圖,   可預約取號    可預約取貨  ,台中市南區學府路73、75號,電話 ,123或0800-080123,服務時間 ,週一至週日：11:30~21:30，全年無休,備註 ,提供iPhone及iPad(未含12.9吋iPad Pro)銷售,進出平坦無礙,,,,,,,
工學服務中心,地圖,   可預約取號    可預約取貨  ,台中市南區工學路82號,電話 ,123或0800-080123,服務時間 ,週一至週六：8:30~18:30,週日：8:30~12:30,備註 ,提供iPhone及iPad(未含12.9吋iPad Pro)銷售,設有無障礙坡道,,,,,,
學士服務中心,地圖,   可預約取號    可預約取貨  ,台中市北區學士路187號,電話 ,123或0800-080123,服務時間 ,週一至週五：11:00~21:00,週六：11:00~21:00,週日：11:00~21:00,備註 ,(全年無休),提供iPhone及iPad(未含12.9吋iPad Pro)銷售,進出平坦無礙,,,,
曉明服務中心,地圖,   可預約取號    可預約取貨  ,台中市北區中清路一段561號,電話 ,123或0800-080123,服務時間 ,週一至週五：11:00~21:00,週六：11:00~21:00,週日：11:00~21:00,備註 ,全年無休,提供iPhone及iPad(未含12.9吋iPad Pro)銷售,,,,,
北台中服務中心,地圖,   可預約取號    可預約取貨  ,台中市北區中清路一段347號,電話 ,123或0800-080123,服務時間 ,週一至週五：8:00~19:00,週六：09:00~18:00,備註 ,提供iPhone及iPad(未含12.9吋iPad Pro)銷售,設有無障礙坡道,每月第二、四週週三下午15:30~16:30舉辦門市小學堂，提供智慧型手機功能、寬頻與MOD...等操作課程,,,,,
力行服務中心,地圖,   可預約取號    可預約取貨  ,台中市北區進化路322號,電話 ,123或0800-080123,服務時間 ,週一至週五：8:30~17:30,備註 ,提供iPhone及iPad(未含12.9吋iPad Pro)銷售,設有無障礙坡道,每月第二、四週週三下午15:30~16:30舉辦門市小學堂，提供智慧型手機功能、寬頻與MOD...等操作課程,,,,,,
大墩服務中心,地圖,   可預約取號    可預約取貨  ,台中市西屯區大墩路932號,電話 ,123或0800-080123,服務時間 ,週一至週日：11:00~21:00,備註 ,(全年無休),提供iPhone及iPad(未含12.9吋iPad Pro)銷售,,,,,,,
台中永安服務中心,地圖,   可預約取號    可預約取貨  ,台中市西屯區台灣大道四段1238號,電話 ,123或0800-080123,服務時間 ,週一至週日11:00~21:00，全年無休,備註 ,提供iPhone及iPad(未含12.9吋iPad Pro)銷售,設有無障礙坡道,,,,,,,
惠來服務中心,地圖,   可預約取號    可預約取貨  ,台中市西屯區西屯路二段104號,電話 ,123或0800-080123,服務時間 ,週一至週五：8:30~17:30,備註 ,提供iPhone及iPad(未含12.9吋iPad Pro)銷售,設有無障礙坡道,每月第二、四週週三下午15:30~16:30舉辦門市小學堂，提供智慧型手機功能、寬頻與MOD...等操作課程,,,,,,
逢甲服務中心,地圖,   可預約取號    可預約取貨  ,台中市西屯區逢甲路230號,電話 ,123或0800-080123,服務時間 ,週一至週五：8:30~17:30,備註 ,提供iPhone及iPad(未含12.9吋iPad Pro)銷售,設有無障礙坡道,每月第二、四週週三下午15:30~16:30舉辦門市小學堂，提供智慧型手機功能、寬頻與MOD...等操作課程,,,,,,
永福服務中心,地圖,   可預約取號    可預約取貨  ,台中市西屯區福雅路128巷58號,電話 ,123或0800-080123,服務時間 ,週一至週五：11:00~21:00,週六：11:00~21:00,週日：11:00~21:00,備註 ,(全年無休),提供iPhone及iPad(未含12.9吋iPad Pro)銷售,進出平坦無礙,,,,
黎明服務中心,地圖,   可預約取號    可預約取貨  ,台中市南屯區黎明路二段147之1號,電話 ,123或0800-080123,服務時間 ,週一至週日：11:00~21:00,備註 ,全年無休,提供iPhone及iPad(未含12.9吋iPad Pro)銷售,,,,,,,
台中東興服務中心,地圖,   可預約取號    可預約取貨  ,台中市南屯區東興路二段62號,電話 ,123或0800-080123,服務時間 ,週一至週日11:00~21:00，全年無休,備註 ,提供iPhone及iPad(未含12.9吋iPad Pro)銷售,設有無障礙坡道,,,,,,,
文心服務中心,地圖,   可預約取號    可預約取貨  ,台中市南屯區文心路一段351號,電話 ,123或0800-080123,服務時間 ,週一至週五：8:30~18:00,週六：09:00~13:00,備註 ,提供iPhone及iPad(未含12.9吋iPad Pro)銷售,進出平坦無礙,每月第二、四週週三下午15:30~16:30舉辦門市小學堂，提供智慧型手機功能、寬頻與MOD...等操作課程,,,,,
南屯服務中心,地圖,   可預約取號    可預約取貨  ,台中市南屯區黎明路一段975號,電話 ,123或0800-080123,服務時間 ,週一至週五：8:30~17:30,備註 ,設有無障礙坡道,105.9.16起提供iPhone及iPad(未含12.9吋iPad Pro)銷售,,,,,,,
東山服務中心,地圖,   可預約取號    可預約取貨  ,台中市北屯區東山路一段212 之2 號,電話 ,123或0800-080123,服務時間 ,週一至週日11:00~21:00，全年無休,備註 ,提供iPhone及iPad(未含12.9吋iPad Pro)銷售,,,,,,,,
崇德服務中心,地圖,   可預約取號    可預約取貨  ,台中市北屯區崇德路三段165號,電話 ,123或0800-080123,服務時間 ,週一至週日11:00~21:00，全年無休,備註 ,提供iPhone及iPad(未含12.9吋iPad Pro)銷售,地址 ,40678台中市北屯區中清路二段713號,電話 ,123或0800-080123,服務時間 ,週一至週日11:00~21:00，全年無休,備註 ,提供iPhone及iPad(未含12.9吋iPad Pro)銷售
台中北屯服務中心,地圖,   可預約取號    可預約取貨  ,台中市北屯區北屯路208之5號,電話 ,123或0800-080123,服務時間 ,週一至週日11:00~21:00，全年無休,備註 ,提供iPhone及iPad(未含12.9吋iPad Pro)銷售,,,,,,,,
崇德捷運服務中心,地圖,   可預約取號    可預約取貨  ,台中市北屯區崇德路二段201號,電話 ,123或0800-080123,服務時間 ,週一至週日11:00~21:00，全年無休,備註 ,,,,,,,,,
