country,stringency_index,new_deaths
ABW,41.76,8.50
AFG,30.35,93.93
AGO,56.66,17.36
AIA,0.00,0.93
ALB,46.55,20.07
AND,36.52,3.07
ARE,47.50,17.07
ARG,53.34,883.14
ARM,0.00,54.21
ATG,0.00,5.21
AUS,49.85,133.86
AUT,52.35,133.29
AZE,63.76,58.50
BDI,17.97,2.71
BEL,42.27,325.86
BEN,34.90,5.57
BES,0.00,1.86
BFA,23.91,11.64
BGD,56.68,247.36
BGR,39.55,242.71
BHR,41.64,22.29
BHS,58.99,21.57
BIH,41.65,151.14
BLR,25.60,27.50
BLZ,53.09,11.71
BMU,41.75,4.93
BOL,45.87,259.14
BRA,52.18,3655.00
BRB,53.21,10.64
BRN,42.40,6.36
BTN,56.42,1.14
BWA,39.83,83.93
CAF,26.84,4.71
CAN,53.58,217.64
CHE,38.17,108.14
CHL,55.86,272.57
CHN,71.57,134.57
CIV,26.88,9.71
CMR,34.44,72.93
COD,41.07,39.86
COG,46.68,13.29
COK,0.00,0.07
COL,54.52,653.36
COM,0.00,5.43
CPV,51.55,3.71
CRI,47.33,84.71
CUB,53.18,92.14
CUW,0.00,4.43
CYM,0.00,1.71
CYP,50.33,15.50
CZE,42.26,261.50
DEU,48.62,1070.93
DJI,44.85,4.64
DMA,44.26,2.79
DNK,37.01,54.36
DOM,49.28,30.86
DZA,56.99,39.00
ECU,53.89,271.43
EGY,46.79,95.14
ERI,0.00,2.14
ESH,0.00,0.00
ESP,48.31,893.64
EST,33.71,16.21
ETH,48.98,45.43
FIN,36.91,167.07
FJI,54.39,18.86
FLK,0.00,0.00
FRA,44.47,1175.71
FRO,30.01,1.36
FSM,0.00,3.57
GAB,51.81,5.00
GBR,45.90,1378.64
GEO,48.23,80.21
GGY,0.00,0.00
GHA,45.35,17.71
GIB,0.00,4.29
GIN,53.72,7.14
GMB,36.94,11.07
GNB,0.00,4.14
GNQ,0.00,8.14
GRC,57.77,224.57
GRD,2.65,9.93
GRL,33.95,1.43
GTM,56.35,79.50
GUM,0.00,0.00
GUY,56.98,11.07
HKG,59.60,277.79
HND,64.86,95.21
HRV,36.44,78.36
HTI,47.92,9.07
HUN,39.01,351.79
IDN,58.06,1747.07
IMN,0.00,4.36
IND,60.87,4196.14
IRL,46.41,95.29
IRN,62.31,645.14
IRQ,64.31,105.50
ISL,32.67,7.71
ISR,46.50,92.64
ITA,54.97,845.93
JAM,58.95,25.29
JEY,0.00,0.00
JOR,46.25,98.36
JPN,41.43,313.64
KAZ,56.95,756.64
KEN,55.74,33.86
KGZ,50.00,88.86
KHM,47.41,31.29
KIR,32.63,0.93
KNA,0.00,2.00
KOR,43.02,376.36
KWT,52.71,16.64
LAO,50.59,11.93
LBN,58.41,97.21
LBR,48.48,14.71
LBY,60.63,40.79
LCA,0.00,8.86
LIE,35.85,2.29
LKA,53.33,212.64
LSO,46.59,29.79
LTU,37.37,49.43
LUX,41.00,16.14
LVA,39.43,48.50
MAC,34.14,0.43
MAR,57.47,109.79
MCO,41.72,1.86
MDA,45.41,56.86
MDG,43.32,31.71
MDV,0.00,5.64
MEX,45.44,1741.64
MHL,0.00,1.21
MKD,0.00,44.71
MLI,41.28,7.57
MLT,43.66,5.57
MMR,69.76,348.64
MNE,0.00,14.57
MNG,44.81,17.93
MNP,0.00,0.00
MOZ,47.92,30.21
MRT,40.80,9.29
MSR,0.00,0.64
MUS,38.33,35.71
MWI,45.12,38.71
MYS,56.38,403.14
NAM,39.27,74.79
NCL,0.00,11.43
NER,23.28,4.93
NGA,49.50,34.07
NIC,11.13,8.93
NIU,0.00,0.00
NLD,46.89,169.57
NOR,38.51,109.57
NPL,51.91,232.14
NRU,0.00,0.07
NZL,36.99,76.00
OMN,50.54,77.43
OWID_AFR,0.00,1168.43
OWID_ASI,0.00,5824.36
OWID_CYN,0.00,0.00
OWID_ENG,0.00,0.00
OWID_EUN,0.00,4407.86
OWID_EUR,0.00,6388.43
OWID_HIC,0.00,9778.07
OWID_INT,0.00,1.07
OWID_KOS,52.73,40.43
OWID_LIC,0.00,346.43
OWID_LMC,0.00,5728.86
OWID_NAM,0.00,5837.57
OWID_NIR,0.00,0.00
OWID_OCE,0.00,151.14
OWID_SAM,0.00,5312.93
OWID_SCT,0.00,0.00
OWID_UMC,0.00,7068.43
OWID_WLS,0.00,0.00
OWID_WRL,0.00,16547.79
PAK,55.06,174.14
PAN,54.42,50.50
PCN,0.00,0.00
PER,65.48,1068.43
PHL,61.62,352.93
PLW,0.00,0.50
PNG,49.27,21.86
POL,43.25,739.36
PRI,0.00,0.00
PRK,0.00,0.43
PRT,47.79,273.50
PRY,47.97,140.93
PSE,57.24,53.93
PYF,0.00,22.79
QAT,55.83,8.29
ROU,44.79,484.07
RUS,44.17,1211.93
RWA,57.45,15.71
SAU,49.66,55.07
SDN,32.07,167.79
SEN,33.57,19.50
SGP,44.05,17.21
SHN,0.00,0.00
SLB,39.87,5.93
SLE,45.51,3.21
SLV,43.73,17.14
SMR,41.41,2.64
SOM,32.24,28.79
SPM,0.00,0.07
SRB,40.63,73.36
SSD,43.53,3.79
STP,0.00,2.14
SUR,59.58,13.50
SVK,42.73,134.50
SVN,42.74,52.43
SWE,38.51,295.14
SWZ,54.07,18.79
SXM,0.00,0.00
SYC,50.40,5.57
SYR,40.99,17.86
TCA,0.00,1.21
TCD,38.98,5.00
TGO,46.47,3.50
THA,45.41,270.93
TJK,29.62,3.50
TKL,0.00,0.00
TKM,0.00,0.00
TLS,40.95,3.43
TON,51.23,0.86
TTO,57.31,31.79
TUN,52.77,251.50
TUR,46.29,356.21
TUV,0.00,0.00
TWN,30.40,182.86
TZA,16.52,58.14
UGA,54.88,102.57
UKR,58.80,786.14
URY,41.50,70.43
USA,49.84,4077.79
UZB,42.58,8.07
VAT,0.00,0.00
VCT,0.00,3.79
VEN,60.44,32.43
VGB,0.00,3.93
VIR,0.00,0.00
VNM,57.16,469.21
VUT,27.39,1.00
WLF,0.00,0.50
WSM,0.00,1.71
YEM,28.60,27.86
ZAF,46.86,688.86
ZMB,33.02,62.00
ZWE,62.43,79.57
