country,country_pay
India,6630.27
China,5802.73
"United States",4110.32
Japan,3471.74
Mexico,3307.04
Brazil,3200.52
"Russian Federation",3045.87
Philippines,2381.32
Turkey,1662.12
Nigeria,1511.48
Indonesia,1510.33
Argentina,1434.48
Taiwan,1210.94
"South Africa",1204.15
Iran,950.75
"United Kingdom",924.8
Poland,877.97
Italy,831.11
Germany,831.04
Vietnam,746.28
Ukraine,730.42
Colombia,709.41
Egypt,694.39
Venezuela,683.3
Spain,606.58
Canada,593.63
Netherlands,586.66
"South Korea",574.65
Pakistan,525.72
"Saudi Arabia",523.79
Yemen,510.83
Peru,468.88
Israel,422.01
Thailand,419.04
Bangladesh,402.05
Ecuador,390.13
Algeria,383.1
France,374.04
Malaysia,369.15
Mozambique,344.2
Tanzania,341.17
"United Arab Emirates",333.16
Chile,328.29
"Dominican Republic",318.23
Morocco,307.29
Austria,307.22
Belarus,277.34
Paraguay,275.38
Latvia,262.4
Yugoslavia,259.43
"Puerto Rico",254.39
Kenya,253.46
Switzerland,252.39
Azerbaijan,245.43
"French Polynesia",235.46
Romania,235.38
Greece,232.46
Sudan,227.46
Runion,216.54
Angola,215.48
"Congo; The Democratic Republic of the",212.5
Bulgaria,204.5
Cameroon,200.46
Kazakstan,198.48
Myanmar,194.48
Cambodia,191.47
Oman,187.5
Bolivia,183.53
"Holy See (Vatican City State)",152.66
Nauru,148.69
Sweden,144.66
"Hong Kong",142.7
Greenland,137.66
Turkmenistan,136.73
Chad,135.68
Zambia,134.67
"Czech Republic",133.71
Gambia,129.7
Moldova,127.66
Malawi,123.72
"Virgin Islands; U.S.",122.68
Tuvalu,120.74
Armenia,118.75
Nepal,116.78
"Sri Lanka",116.7
Estonia,115.7
Liechtenstein,114.72
"Faroe Islands",114.72
"North Korea",113.69
Brunei,113.65
Bahrain,112.75
Kuwait,111.74
Iraq,111.73
Hungary,111.71
Anguilla,106.65
"French Guiana",103.78
Finland,101.74
Senegal,100.75
"Saint Vincent and the Grenadines",96.75
Madagascar,93.78
"New Zealand",92.76
Ethiopia,91.77
Slovakia,89.74
Tunisia,78.77
Tonga,73.82
Lithuania,73.76
"American Samoa",71.8
Afghanistan,67.82
