code,continent,Entity,Year,type,source,value
AFG,Asia,Afghanistan,2020,fossil,coal,0.0
ALB,Europe,Albania,2020,fossil,coal,0.0
DZA,Africa,Algeria,2020,fossil,coal,0.0
ASM,Oceania,American Samoa,2020,fossil,coal,0.0
AGO,Africa,Angola,2020,fossil,coal,0.0
ATG,North America,Antigua and Barbuda,2020,fossil,coal,0.0
ARG,South America,Argentina,2020,fossil,coal,2.53
ARM,Asia,Armenia,2020,fossil,coal,0.0
ABW,North America,Aruba,2020,fossil,coal,0.0
AUS,Oceania,Australia,2020,fossil,coal,130.94
AUT,Europe,Austria,2020,fossil,coal,0.56
AZE,Asia,Azerbaijan,2020,fossil,coal,0.0
BHS,North America,Bahamas,2020,fossil,coal,0.0
BHR,Asia,Bahrain,2020,fossil,coal,0.0
BGD,Asia,Bangladesh,2020,fossil,coal,5.86
BRB,North America,Barbados,2020,fossil,coal,0.0
BLR,Europe,Belarus,2020,fossil,coal,0.0
BEL,Europe,Belgium,2020,fossil,coal,0.08
BLZ,North America,Belize,2020,fossil,coal,0.0
BEN,Africa,Benin,2020,fossil,coal,0.0
BTN,Asia,Bhutan,2020,fossil,coal,0.0
BOL,South America,Bolivia,2020,fossil,coal,0.0
BIH,Europe,Bosnia and Herzegovina,2020,fossil,coal,10.7
BWA,Africa,Botswana,2020,fossil,coal,1.68
BRA,South America,Brazil,2020,fossil,coal,21.05
VGB,North America,British Virgin Islands,2020,fossil,coal,0.0
BDI,Africa,Brunei,2020,fossil,coal,2.3
BGR,Europe,Bulgaria,2020,fossil,coal,13.51
BFA,Africa,Burkina Faso,2020,fossil,coal,0.0
BDI,Africa,Burundi,2020,fossil,coal,0.0
KHM,Asia,Cambodia,2020,fossil,coal,3.41
CMR,Africa,Cameroon,2020,fossil,coal,0.0
CAN,North America,Canada,2020,fossil,coal,33.7
CPV,Africa,Cape Verde,2020,fossil,coal,0.0
CYM,North America,Cayman Islands,2020,fossil,coal,0.0
CAF,Africa,Central African Republic,2020,fossil,coal,0.0
TCD,Africa,Chad,2020,fossil,coal,0.0
CHL,South America,Chile,2020,fossil,coal,16.09
CHN,Asia,China,2020,fossil,coal,4917.72
COL,South America,Colombia,2020,fossil,coal,6.53
COM,Africa,Comoros,2020,fossil,coal,0.0
COG,Africa,Congo,2020,fossil,coal,0.0
COK,Oceania,Cook Islands,2020,fossil,coal,0.0
CRI,North America,Costa Rica,2020,fossil,coal,0.0
CIV,Africa,Cote d'Ivoire,2020,fossil,coal,0.0
HRV,Europe,Croatia,2020,fossil,coal,1.22
CUB,North America,Cuba,2020,fossil,coal,0.0
CYP,Asia,Cyprus,2020,fossil,coal,0.0
CZE,Europe,Czechia,2020,fossil,coal,31.0
COD,Africa,Democratic Republic of Congo,2020,fossil,coal,0.0
DNK,Europe,Denmark,2020,fossil,coal,3.06
DJI,Africa,Djibouti,2020,fossil,coal,0.0
DMA,North America,Dominica,2020,fossil,coal,0.0
DOM,North America,Dominican Republic,2020,fossil,coal,5.04
ZAF,Africa,Eastern Africa,2020,fossil,coal,
ECU,South America,Ecuador,2020,fossil,coal,0.0
EGY,Africa,Egypt,2020,fossil,coal,0.0
SLV,North America,El Salvador,2020,fossil,coal,0.0
GNQ,Africa,Equatorial Guinea,2020,fossil,coal,0.0
ERI,Africa,Eritrea,2020,fossil,coal,0.0
EST,Europe,Estonia,2020,fossil,coal,0.0
SWZ,Africa,Eswatini,2020,fossil,coal,0.0
ETH,Africa,Ethiopia,2020,fossil,coal,0.0
FRO,Europe,Faroe Islands,2020,fossil,coal,0.0
FLK,South America,Falkland Islands,2020,fossil,coal,0.0
FJI,Oceania,Fiji,2020,fossil,coal,0.0
FIN,Europe,Finland,2020,fossil,coal,2.44
FRA,Europe,France,2020,fossil,coal,3.09
GUF,South America,French Guiana,2020,fossil,coal,0.0
PYF,Oceania,French Polynesia,2020,fossil,coal,0.0
GAB,Africa,Gabon,2020,fossil,coal,0.0
GMB,Africa,Gambia,2020,fossil,coal,0.0
GEO,Asia,Georgia,2020,fossil,coal,0.0
DEU,Europe,Germany,2020,fossil,coal,133.58
GHA,Africa,Ghana,2020,fossil,coal,0.0
GRC,Europe,Greece,2020,fossil,coal,6.61
GRL,North America,Greenland,2020,fossil,coal,0.0
GRD,North America,Grenada,2020,fossil,coal,0.0
