zname,ename,lon,lat,geohash
iBike1.0_逢甲大學,iBike1.0_Feng Chia University,120.64501,24.178695,wsmc93e50
iBike1.0_秋紅谷,iBike1.0_Maple Valley Park,120.638895,24.167898,wsmc3pws1
iBike1.0_市政府(文心樓),iBike1.0_Taichung City Hall (Wenxin Building),120.648701,24.161438,wsmc3qmww
iBike1.0_福星公園,iBike1.0_Fuxing Park,120.6481,24.172421,wsmc92mq8
iBike1.0_重慶公園,iBike1.0_Chongqing Park,120.655551552772,24.1658893012632,wsmc3x68w
iBike1.0_頂何厝,iBike1.0_Ding He Cuo,120.655825,24.159079,wsmc3w4bu
iBike1.0_公益大英街口,iBike1.0_Gongyi Rd. / Daying St.,120.648481,24.150814,wsmc3kt89
iBike1.0_新光/遠百,iBike1.0_Mitsukoshi Shin Kong / Top City Dept. Store,120.642929,24.166146,wsmc3r36p
iBike1.0_青海逢甲路口,iBike1.0_Qinghai Rd. / Fengjia Rd.,120.639231,24.174652,wsmc90yg9
iBike1.0_忠明國小,iBike1.0_Chung-Ming Elementary School ,120.659171,24.156769,wsmc3tt76
iBike1.0_大墩七街河南路口,iBike1.0_Dadun 7th St. / Henan Rd.,120.639554,24.144259,wsmc35r49
iBike1.0_博館育德路口,iBike1.0_Boguan Rd. / Yude Rd.,120.669111,24.157464,wsmc3vsx6
iBike1.0_科博館/金典酒店,iBike1.0_National Museum of Natural Science/ The Splendor Hotel,120.66304,24.155525,wsmc3v2hh
iBike1.0_中正國小,iBike1.0_Chung-Cheng Elementary School,120.666281,24.152483,wsmc3ufd2
iBike1.0_茄苳腳,iBike1.0_Qie Dong Jiao,120.671377,24.150107,wsmc3uqhw
iBike1.0_萬壽棒球場,iBike1.0_Wan-Shou Baseball Field,120.650534,24.146568,wsmc37xpc
iBike1.0_公益公園,iBike1.0_Gong Yi Park,120.657475,24.150423,wsmc3skn6
iBike1.0_大墩文化中心,iBike1.0_Dadun Cultural Center,120.666531,24.141249,wsmc3ff8v
iBike1.0_英士公園,iBike1.0_Ying Shi Park,120.675577,24.151149,wsmc6h968
iBike1.0_大隆東興路口,iBike1.0_Dalong Rd./ Dongxing Rd.,120.654096,24.155731,wsmc3t3tk
iBike1.0_文心森林公園,iBike1.0_Wen-Hsin Forest Park,120.646119,24.146743,wsmc37gbf
iBike1.0_五權西文心路口,iBike1.0_Wuquan W. Rd./ Wenxin Rd.,120.646885,24.139937,wsmc36s3k
iBike1.0_臺中州廳,iBike1.0_Taichung Prefectural Hall,120.678756,24.138299,wsmc645xf
iBike1.0_臺中公園,iBike1.0_Taichung Park ,120.684231,24.142596,wsmc65p8f
iBike1.0_臺中孔廟,iBike1.0_Confucius Temple,120.689117,24.153274,wsmc6kgph
iBike1.0_太原北中清路口,iBike1.0_Taiyuan N. Rd./ Zhongqing Rd.,120.673279,24.165115,wsmc3zpeg
iBike1.0_臺中教育大學,iBike1.0_National Taichung University of Education,120.671185,24.145214,wsmc3gw04
iBike1.0_學士育德路口,iBike1.0_Xueshi Rd./ Yude Rd.,120.681155,24.157757,wsmc6jv34
iBike1.0_中山地政事務所,iBike1.0_Zhongshan Land Office,120.673707,24.13654,wsmc3czvt
iBike1.0_臺中市民廣場,iBike1.0_Taichung City Park,120.663045,24.150621,wsmc3u2ps
iBike1.0_國立自然科學博物館,iBike1.0_National Museum of Natural Science,120.665901,24.156199,wsmc3vd0p
iBike1.0_經國園道,iBike1.0_Greenway,120.664773,24.146778,wsmc3gc3j
iBike1.0_國立臺灣美術館,iBike1.0_National Taiwan Museum of Fine Arts,120.661836,24.140682,wsmc3dxm8
iBike1.0_北區行政大樓,iBike1.0_North District Administration Building,120.682416,24.166078,wsmc6pq38
iBike1.0_三光太原路口,iBike1.0_Sanguang Rd. / Taiyuan Rd.,120.696704,24.164742,wsmc6x09v
iBike1.0_北屯兒童公園,iBike1.0_Beitun Children's Park,120.694267,24.170187,wsmcd2ncs
iBike1.0_力行國小,iBike1.0_Li Sing Elementary School,120.693931,24.151573,wsmc6kwth
iBike1.0_臺中一中,iBike1.0_Taichung First Senior High School,120.686487,24.149175,wsmc6k1pn
iBike1.0_忠誠公園,iBike1.0_Chong Cheng Park,120.662753,24.161092,wsmc3wrut
iBike1.0_賴明公園,iBike1.0_Lai Ming Park,120.678381,24.167109,wsmc6p7rd
iBike1.0_文華高中,iBike1.0_Wen-Hua Senior High School,120.660673,24.171233,wsmc98nrt
iBike1.0_崇倫公園,iBike1.0_Chung Luen Park,120.661146,24.132292,wsmc39nub
iBike1.0_臺中火車站(建國路),iBike1.0_Taichung Railway Station(Jianguo Rd.),120.68436,24.13738,wsmc64pdm
iBike1.0_黎明國中,iBike1.0_Li Ming Junior High School,120.634399,24.156493,wsmc3je3c
iBike1.0_豐樂雕塑公園,iBike1.0_Fromlove Park,120.64347,24.132054,wsmc331gk
iBike1.0_惠文高中,iBike1.0_Hui-Wen High School,120.6404,24.153645,wsmc3jp9j
iBike1.0_上石公園,iBike1.0_Shang Shi Park,120.644939,24.172842,wsmc92dcn
iBike1.0_英才公園,iBike1.0_Ying Cai Park,120.670979,24.155624,wsmc3vmut
iBike1.0_中德公園,iBike1.0_Zhong De Park,120.668407,24.163681,wsmc3yu59
iBike1.0_向心兒童公園,iBike1.0_Xiang Xin Children’s Park,120.644625,24.13593,wsmc33f9z
iBike1.0_市政公園停車場,iBike1.0_City Hall Garden Parking,120.644537,24.160994,wsmc3q6ev
iBike1.0_民俗公園,iBike1.0_Min Su Park,120.688075,24.175306,wsmcd2fr7
iBike1.0_臺中國小,iBike1.0_Taichung Elementary School,120.68447,24.13201,wsmc61pep
iBike1.0_國立中興大學,iBike1.0_National Chung Hsing University,120.677198,24.12391,wsmc4pd7y
iBike1.0_忠孝國光路口,iBike1.0_Zhongxiao Guoguang Intersection,120.67816,24.12811,wsmc607hk
iBike1.0_大智國小,iBike1.0_Dazhi Elementary School,120.69059,24.12956,wsmc62shy
iBike1.0_健行國小,iBike1.0_Jian Xing Elementary School,120.6741,24.15928,wsmc6n04n
iBike1.0_東峰公園,iBike1.0_Dongfeng Park,120.68827,24.12627,wsmc62498
iBike1.0_太原華美街口,iBike1.0_Taiyuan Rd./ Huamei St.,120.66496,24.16482,wsmc3z1d3
iBike1.0_柳川東中華路口,iBike1.0_Liuchuan E. Rd. / Zhonghua Rd.,120.6783,24.14692,wsmc65g60
iBike1.0_忠明南美村南路口,iBike1.0_Zhongming S. Rd. / Meicun S. Rd.,120.66714,24.11898,wsmc1yeph
iBike1.0_忠明南復興路口,iBike1.0_Zhongming S. Rd. / Fuxing Rd.,120.66133,24.12175,wsmc1xnzk
iBike1.0_新福公園,iBike1.0_Xinfu Park,120.70139,24.15089,wsmc6ss14
iBike1.0_山西公園,iBike1.0_Shanxi Park,120.6759,24.17106,wsmcd01w8
iBike1.0_北屯區文昌國小,iBike1.0_Beitun Dist. Wun Chang Elementary School,120.69152,24.16712,wsmc6rkzs
