季度,股本,股價,營業收入,營業毛利,營業利益,業外損益,稅後淨利,ROE,ROA,EPS,BPS
1101,755,23.6,1094,201,85.6,-156,-92.4,-3.5,-1.75,-1.28,29.05
1102,355,38.9,531,87.3,66.1,34.1,80.9,4.16,2.57,2.42,49.06
1103,79,13.8,22.4,3.62,-0.38,5.27,4.79,2.44,1.44,0.73,27.67
1104,68.7,28.5,57.8,12.2,8.12,6.24,12.4,5.25,4.29,1.8,33.81
1108,40.5,14.9,34.3,7.1,10.4,-0.13,8.16,15,7.9,2.02,14.06
1109,34.1,16.1,33.1,5.45,3.32,0.88,2.72,3.03,2.74,0.8,23.8
1110,57.2,17.9,21.4,3.2,1.9,0.48,1.64,2.04,1.54,0.29,16.56
1201,50.6,15.7,167,45.6,3.73,-0.15,2.16,2.85,1.22,0.43,14.78
1203,24,40,43.4,15.2,7.46,-0.27,3.03,7.3,5.03,1.28,25.69
1210,89.5,57.5,750,108,34.2,1.28,22.4,7.98,3.83,2.67,29.61
1213,5.66,12.6,2.27,-0.05,-0.34,0.02,-0.37,-5.32,-4.65,-0.65,11.72
1215,29.5,128,209,45,28.4,1.23,23.4,20.3,7.79,7.94,39.43
1216,568,80.4,5152,1725,308,50.1,167,12.9,3.68,2.93,22.47
1217,49.5,10.8,40.3,11.1,1.09,0.71,1.54,1.97,1.07,0.31,15.2
1218,50,19,77.3,13.9,3.58,1.73,5.2,4.08,3.57,1.07,26.09
1219,34.1,14,106,8.62,-0.38,0.06,0.86,-0.75,-0.35,0.25,13.23
1220,17.7,13.3,24.1,2.75,0.38,0.21,0.23,1.64,1.23,0.13,13.29
1225,24.2,30.8,90,8.44,3.63,0.39,2.72,7.82,3.57,1.12,15.6
1227,91.5,31.2,203,51.1,10.1,1.23,8.5,4.72,3.17,0.94,19.66
1229,180,47.2,97.6,26,16.2,30.6,35.9,5.71,4.59,2,31.93
1231,29.8,139,94.9,18.8,7.25,0.85,6.69,10,4.62,2.24,22.66
1232,16,150,158,20.8,12,0.26,9.34,17,10.9,5.84,34.4
1233,9.06,30.8,16,9.53,0.54,0.05,0.5,3.55,2.18,0.55,14.76
1234,40.2,39.5,73.1,21.1,2.97,4.9,6.32,3.37,2.64,1.57,46.52
1235,15.7,63,1.2,0.33,0.05,0.2,0.72,0.56,0.31,0.59,73.87
1236,8.67,21.9,13.8,3.52,-0.23,0.09,-0.2,-0.78,-0.5,-0.23,28.93
1240,4.42,61.5,20.5,2.99,1.1,0.65,1.7,11.1,7.74,3.84,32.85
1256,3.38,134,32.4,9.26,4.36,0.14,3.15,9.2,7.14,9.32,101.24
1259,3.24,57.1,45.3,10.1,-0.19,0.53,0.33,1.28,0.54,1.03,97.98
1264,3.71,307,50.1,16.4,8.73,0.15,5.91,16.1,12.1,15.94,92.96
1268,4.22,156,46.2,21.1,4.13,-0.08,3.25,14.5,4.59,7.7,52.42
1294,3.1,78.2,5.65,2.08,1.27,0,1.02,12.6,9.2,3.37,26.15
1295,3.45,126,7.54,4.13,1.65,-0.05,1.34,11.4,5.15,4.07,36.84
1301,637,38.2,1343,46.2,-51.4,-21.9,-71.8,-2.47,-1.46,-1.13,45.85
1303,793,36.7,1954,156,23.7,-17.6,-4.07,-0.07,-0.04,-0.05,41.48
1304,119,10.3,342,8.17,-22.2,-27.9,-19.8,-11.3,-6.58,-1.85,16.88
1305,58.1,11.3,73.9,-3.62,-10.7,-0.99,-7.77,-9.44,-4.74,-1.34,13.49
1307,39.8,32.6,82.5,26,11.9,-1.38,7.99,8.1,4.65,2.01,23.73
1308,59.4,12,43.4,1.58,-0.29,-6.61,-6.86,-6.25,-5.3,-1.16,17.61
1309,39.8,11.1,115,4.93,-3.02,-1.42,-3.71,-6.2,-3.99,-0.93,14.26
1310,52.8,8.83,69.6,-4.16,-5.46,0.1,-4.97,-6.89,-5.11,-0.94,12.84
1312,111,9.75,158,-11.9,-30,-4.06,-31.6,-9.49,-5.11,-2.86,25.6
1313,135,9.73,441,9.52,-9.39,2.43,-7.44,-2.51,-1.32,-0.56,22.32
1314,378,7.2,159,-11.1,-24.4,-1.79,-28.4,-3.67,-2.1,-0.75,20.07
1315,9.91,65.7,17.5,2.27,-0.46,1.2,0.94,1.04,0.96,0.99,98.37
1316,36.7,13.9,28.2,12.3,3.17,5.01,-2.32,4.91,2.53,-0.71,12.17
1319,59.1,99.6,186,62.4,34.3,-1.64,25.8,9.58,7.13,4.36,45.18
1321,22.7,36.4,27.4,2,-0.68,-0.12,-1.62,-2.74,-1.4,-0.74,26.34
1323,9.13,19.8,15.3,1.95,-0.09,0.21,0.05,0.21,0.11,0.06,27.01
1324,7.51,11,5.52,0.8,-0.5,0.01,-0.5,-5.36,-4.38,-0.66,11.9
1325,8.53,29,2.28,-0.34,-0.68,-0.02,-0.55,-2.13,-2.05,-0.65,30.27
1326,586,27.5,2220,67,-31.8,-19.9,-55,-1.76,-1.11,-0.94,47.89
1336,7.76,18,18.9,3.11,1.1,-0.14,0.47,2.52,1.52,0.6,22.9
1337,26.9,5.33,5.02,-0.91,-2.96,-0.37,-3.32,-8.57,-5.38,-1.24,13.44
1338,8.38,22.7,38.8,9.24,-0.27,-0.98,-1.63,-2.37,-1.4,-2,68.61
1339,7.41,46.9,12.9,4.5,2.23,-0.97,0.83,1.87,1.49,1.12,52.9
1340,15.3,6.45,0.33,-0.25,-1.04,-0.06,-1.45,-5.07,-4.61,-0.95,17.8
1341,5.29,63.5,18.8,4.23,1.94,-0.24,1.23,9.36,5.41,2.32,22.29
